film_id,film_name,actor_id,actor_name
Q4501134,Forgive Me If I Die,Q12839958,Gülzar Qurbanova
Q4493029,Front in the Rear of the Enemy,Q21873418,Harry Pietzsch
Q4447979,Sons Are Leaving for Battle,Q4149301,Konstantin Grigoryev
Q4447989,Сыну пора жениться,Q4069260,Marat Aripov
Q4493029,Front in the Rear of the Enemy,Q12055187,Soběslav Sejk
Q4501134,Forgive Me If I Die,Q4280422,Muxtar Maniyev
Q4500624,Хочу жениться,Q4071343,Sayavush Aslan
Q4447944,Сын,Q1660403,Valeri Zolotukhin
Q4496773,Хаш с музыкой,Q31291857,Larisa Xələfova
Q4498878,The Master of Taiga,Q512,Vladimir Vysotsky
Q4496773,Хаш с музыкой,Q16417063,Haji Ismayilov
Q4501134,Forgive Me If I Die,Q12846136,Sədayə Mustafayeva
Q4493029,Front in the Rear of the Enemy,Q11812386,Dita Kaplanová
Q4447979,Sons Are Leaving for Battle,Q4476911,Nina Urgant
Q4493029,Front in the Rear of the Enemy,Q4227521,Mikhail Kokshenov
Q4447946,Iriston's Son,Q4466857,Vladimir Tkhapsayev
Q4500625,Хочу тебе сказать,Q4298547,Vasiliy Mishchenko
Q4447797,Happy Flight,Q764546,Mikhail Zharov
Q4447797,Happy Flight,Q1196388,Nikolai Kryuchkov
Q4497894,Хирургия,Q2358989,Igor Ilyinsky
Q4447757,"Счастлив, кто любил…",Q603381,Nikolai Grinko
Q4447797,Happy Flight,Q3555714,Vera Orlova
Q4497894,Хирургия,Q1972072,Ivan Moskvin
Q4447956,Son of the Regiment,Q4327590,Igor Nosov
Q4360260,Петерс,Q4480995,Anatoly Falkovich
Q4375060,Christmas Kidnap,Q2634866,Oleg Anofriyev
Q4375060,Christmas Kidnap,Q3061588,Evgeniy Steblov
Q4171577,Smoke in the Forest,Q4405299,Gennady Sayfulin
Q4533498,Юбилей,Q3656128,Olga Androvskaya
Q4375062,Pokhishchenie 'Savoi',Q12285323,Lachezar Stoyanov
Q4533498,Юбилей,Q4439421,Viktor Stanitsyn
Q4172452,Дядюшкин сон,Q1964680,Sergey Martinson
Q4170939,Дураки умирают по пятницам,Q4538135,Igor Yankovsky
